Annavölgy;Komárom-Esztergom vármegye;2529;47.6960502;18.6658768
Apácatorna;Veszprém vármegye;8477;47.1119007;17.2953983
Apagy;Szabolcs-Szatmár-Bereg vármegye;4553;47.9593892;21.9348469
Apaj;Pest vármegye;2345;47.1139942;19.0882667
Aparhant;Tolna vármegye;7186;46.3295939;18.4486863
Apátfalva;Csongrád-Csanád vármegye;6931;46.1768429;20.5746455
Apátistvánfalva;Vas vármegye;9982;46.8961208;16.2533376
Apátvarasd;Baranya vármegye;7720;46.1863154;18.4802094
Apc;Heves vármegye;3032;47.7963496;19.6916338
Áporka;Pest vármegye;2338;47.232627;19.0120921
Apostag;Bács-Kiskun vármegye;6088;46.8832449;18.9673417
Aranyosapáti;Szabolcs-Szatmár-Bereg vármegye;4634;48.2122856;22.2567426
Aranyosgadány;Baranya vármegye;7671;46.0079124;18.1191619
Arka;Borsod-Abaúj-Zemplén vármegye;3885;48.3560955;21.2516863
Arló;Borsod-Abaúj-Zemplén vármegye;3663;48.176668;20.2541957
Arnót;Borsod-Abaúj-Zemplén vármegye;3713;48.1308057;20.8610857
Ároktő;Borsod-Abaúj-Zemplén vármegye;3467;47.7281663;20.9434075
Árpádhalom;Csongrád-Csanád vármegye;6623;46.6191928;20.5470627
Árpás;Győr-Moson-Sopron vármegye;9132;47.5133573;17.3936753
Ártánd;Hajdú-Bihar vármegye;4115;47.1252992;21.7572321
Ásotthalom;Csongrád-Csanád vármegye;6783;46.2001125;19.7840754
Ásványráró;Győr-Moson-Sopron vármegye;9177;47.8299324;17.4996843
Aszaló;Borsod-Abaúj-Zemplén vármegye;3841;48.2256199;20.9547736
Ászár;Komárom-Esztergom vármegye;2881;47.509266;18.0045383
Aszód;Pest vármegye;2170;47.6532732;19.4747432
Aszófő;Veszprém vármegye;8241;46.9288872;17.8333945
Áta;Baranya vármegye;7763;45.9368992;18.297316
Átány;Heves vármegye;3371;47.6175427;20.3619843
Atkár;Heves vármegye;3213;47.7196216;19.8901629
Attala;Tolna vármegye;7252;46.3765721;18.0660777
Babarc;Baranya vármegye;7757;46.003813;18.5547242
Babarcszőlős;Baranya vármegye;7814;45.8994841;18.136406
Babócsa;Somogy vármegye;7584;46.0371105;17.346259
Bábolna;Komárom-Esztergom vármegye;2943;47.642224;17.9787467
Bábonymegyer;Somogy vármegye;8658;46.7516739;18.1195573
Babosdöbréte;Zala vármegye;8983;46.8140259;16.7795904
Babót;Győr-Moson-Sopron vármegye;9351;47.5759862;17.0756257
Bácsalmás;Bács-Kiskun vármegye;6430;46.1274127;19.3319128
Bácsbokod;Bács-Kiskun vármegye;6453;46.1240247;19.1558176
Bácsborsód;Bács-Kiskun vármegye;6454;46.0974022;19.1583982
Bácsszentgyörgy;Bács-Kiskun vármegye;6511;45.9747534;19.0397557
Bácsszőlős;Bács-Kiskun vármegye;6425;46.1352313;19.4212497
Badacsonyörs, Badacsonytomaj;Veszprém vármegye;8257;46.8046616;17.5355361
Badacsonytomaj;Veszprém vármegye;8258;46.8057988;17.514693
Badacsony, Badacsonytomaj;Veszprém vármegye;8261;46.7937738;17.5097971
Badacsonytördemic;Veszprém vármegye;8263;46.8120251;17.4736857
Bag;Pest vármegye;2191;47.6337331;19.4792099
Bagamér;Hajdú-Bihar vármegye;4286;47.4454935;21.9919136
Baglad;Zala vármegye;8977;46.6805547;16.4844556
Bagod;Zala vármegye;8992;46.8768639;16.7437582
Bágyogszovát;Győr-Moson-Sopron vármegye;9145;47.5834947;17.3675387
Baj;Komárom-Esztergom vármegye;2836;47.6489476;18.3644373
Baja;Bács-Kiskun vármegye;6500;46.1785471;18.9517255
Bajaszentistván, Baja;Bács-Kiskun vármegye;6503;46.20192;18.9619602
Bajánsenye;Vas vármegye;9944;46.8016041;16.3841804
Bajna;Komárom-Esztergom vármegye;2525;47.6553343;18.5986208
Bajót;Komárom-Esztergom vármegye;2533;47.7258495;18.5579539
Bak;Zala vármegye;8945;46.7306266;16.8455824
Bakháza;Somogy vármegye;7585;46.1082398;17.3593728
Bakóca;Baranya vármegye;7393;46.2072106;17.9997737
Bakonszeg;Hajdú-Bihar vármegye;4164;47.1895312;21.4454608
Bakonya;Baranya vármegye;7675;46.0852894;18.0804728
Bakonybánk;Komárom-Esztergom vármegye;2885;47.4681471;17.9033918
Bakonybél;Veszprém vármegye;8427;47.2551092;17.7280196
Bakonycsernye;Fejér vármegye;8056;47.3194796;18.085004
Bakonygyirót;Győr-Moson-Sopron vármegye;8433;47.4179307;17.8046807
Bakonyjákó;Veszprém vármegye;8581;47.2261603;17.5982426
Bakonykoppány;Veszprém vármegye;8571;47.3304801;17.6866492
Bakonykúti;Fejér vármegye;8046;47.2455037;18.1980235
Bakonynána;Veszprém vármegye;8422;47.2819705;17.9692327
Bakonyoszlop;Veszprém vármegye;8418;47.3417446;17.9232123
Bakonypéterd;Győr-Moson-Sopron vármegye;9088;47.4654288;17.7975324
Bakonypölöske;Veszprém vármegye;8457;47.2106927;17.4880394
Bakonyság;Veszprém vármegye;8557;47.4004405;17.6516274
Bakonysárkány;Komárom-Esztergom vármegye;2861;47.4479595;18.1014985
Bakonyszentiván;Veszprém vármegye;8557;47.3907201;17.6718144
Bakonyszentkirály;Veszprém vármegye;8430;47.3639276;17.8826006
Bakonyszentlászló;Győr-Moson-Sopron vármegye;8431;47.3907437;17.8043374
Bakonyszombathely;Komárom-Esztergom vármegye;2884;47.4703383;17.9624907
Bakonyszücs;Veszprém vármegye;8572;47.3428492;17.681372
Bakonytamási;Veszprém vármegye;8555;47.4102798;17.7332301
Baks;Csongrád-Csanád vármegye;6768;46.5495087;20.1071453
Baksa;Baranya vármegye;7834;45.9595045;18.0950419
Baktakék;Borsod-Abaúj-Zemplén vármegye;3836;48.3636469;21.0276138
Baktalórántháza;Szabolcs-Szatmár-Bereg vármegye;4561;47.9994207;22.0793592
Baktüttös;Zala vármegye;8946;46.7012816;16.8188972
Balajt;Borsod-Abaúj-Zemplén vármegye;3780;48.3217322;20.7882128
Balassagyarmat;Nógrád vármegye;2660;48.0768832;19.2926037
Balástya;Csongrád-Csanád vármegye;6764;46.42333;20.0092202
Balaton;Heves vármegye;3347;48.0944507;20.3060574
Balatonakali;Veszprém vármegye;8243;46.8836584;17.7526787
Balatonakarattya;Veszprém vármegye;8172;47.0239663;18.1439403
Balatonalmádi;Veszprém vármegye;8220;47.030277;18.0155756
Balatonberény;Somogy vármegye;8649;46.710836;17.3193203
Balatonboglár;Somogy vármegye;8630;46.7785372;17.6553331
Szőlőskislak, Balatonboglár;Somogy vármegye;8691;46.7378571;17.668581
Balatoncsicsó;Veszprém vármegye;8272;46.9266024;17.6688942
Balatonederics;Veszprém vármegye;8312;46.8091396;17.3813106
Balatonendréd;Somogy vármegye;8613;46.8362401;17.9765942
Balatonfenyves;Somogy vármegye;8646;46.7176727;17.4945314
Balatonfőkajár;Veszprém vármegye;8164;47.0202933;18.2122159
Balatonföldvár;Somogy vármegye;8623;46.8491197;17.8792403
Balatonfüred;Veszprém vármegye;8230;46.9567254;17.888892
Balatonfűzfő;Veszprém vármegye;8175;47.0620043;18.0409677
Fűzfőgyártelep, Balatonfűzfő;Veszprém vármegye;8184;47.0772131;18.0322005
Balatongyörök;Zala vármegye;8313;46.7616172;17.3504857
Balatonhenye;Veszprém vármegye;8275;46.9119705;17.6155343
Balatonkenese;Veszprém vármegye;8174;47.0349778;18.1079681
Balatonkeresztúr;Somogy vármegye;8648;46.6976597;17.3703877
Balatonlelle;Somogy vármegye;8638;46.7867617;17.6965209
Balatonmagyaród;Zala vármegye;8753;46.5914387;17.1790969
Balatonmáriafürdő;Somogy vármegye;8647;46.7015468;17.4074991
Balatonőszöd;Somogy vármegye;8637;46.8069464;17.8002219
