1,NES,1
2,SNES,1
3,Nintendo 64,1
4,Virtual Boy,1
5,Game Boy,1
6,Game Boy Color,1
7,Game Boy Advance,1
8,GameCube,1
9,PlayStation,2
10,PlayStation 2,2
11,PlayStation 3,2
12,PlayStation 4,2
13,PlayStation 5,2
14,Master System,3
15,Mega Drive,3
16,Saturn,3
17,Dreamcast,3
18,XBox,4
19,XBox 360,4
20,XBox One,4
21,XBox Series S,4
22,XBox Series X,4
23,Atari 2600,5
24,Atari 5200,5
